,name,link,affiliations,email,cited_by
95,Sandra Hermanto,https://scholar.google.com/citations?hl=en&user=bWrTLC4AAAAJ,"Doctor on Biochemistry, Syarif Hidayatullah State Islamic University",Verified email at uinjkt.ac.id,524
96,A. Bakir Ihsan,https://scholar.google.com/citations?hl=en&user=Xk1RCokAAAAJ,"Lecturer of political science, Syarif Hidayatullah State Islamic University",Verified email at uinjkt.ac.id,521
97,diniyah30,https://scholar.google.com/citations?hl=en&user=jLtZi8UAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at mhs.uinjkt.ac.id,500
98,"Prof. Dr. Sri Mulyati, MA",https://scholar.google.com/citations?hl=en&user=XvAHzxsAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,496
99,Erta Mahyudin,https://scholar.google.com/citations?hl=en&user=0aXLy70AAAAJ,Universitas Islam Negeri Syarif Hidayatullah,Verified email at uinjkt.ac.id,496
100,Dadi Darmadi,https://scholar.google.com/citations?hl=en&user=H6Pr6OoAAAAJ,"PPIM (Center for the Study of Islam and Society), UIN Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,494
101,Evi Sapinatul Bahriah,https://scholar.google.com/citations?hl=en&user=ADunOHUAAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,494
102,Azkia Muharom Albantani,https://scholar.google.com/citations?hl=en&user=0JfGVN4AAAAJ,"Syarif Hidayatullah State Islamic University of Jakarta, Indonesia",Verified email at uinjkt.ac.id,492
103,Rusmin Tumanggor,https://scholar.google.com/citations?hl=en&user=OPVH2UMAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,489
104,Hendro Prasetyo,https://scholar.google.com/citations?hl=en&user=ObqkQ7QAAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,487
105,ELMA MEIDIANA RAHMAH 2019,https://scholar.google.com/citations?hl=en&user=FoYnzaMAAAAJ,,Verified email at mhs.uinjkt.ac.id,485
106,Muhammad Farkhan,https://scholar.google.com/citations?hl=en&user=5vXL2eAAAAAJ,"Associate Professor of Applied Linguistics, UIN SYarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,480
107,husniteja sukmana,https://scholar.google.com/citations?hl=en&user=Sx_kXVgAAAAJ,"Lecture of Information Engineering, Syarif Hidayatullah State Islamic University Jakarta",Verified email at uinjkt.ac.id,473
108,Sudarnoto abdul hakim,https://scholar.google.com/citations?hl=en&user=2zz0f2wAAAAJ,State islamic university Jakarta,Verified email at uinjkt.ac.id,456
109,Ismail Hasani,https://scholar.google.com/citations?hl=en&user=mGSUAaMAAAAJ,"Lecturer, UIN Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,456
110,Fitri Amalia,https://scholar.google.com/citations?hl=en&user=Emyg4HQAAAAJ,UIN Syarif Hidayatullah,Verified email at uinjkt.ac.id,456
111,Zulfiani Zulfiani,https://scholar.google.com/citations?hl=en&user=DT_4Ua4AAAAJ,"Biology Education, UIN Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,455
112,Dewanti Prasasha,https://scholar.google.com/citations?hl=en&user=5I_eFIIAAAAJ,"Bachelor of Economic and Business, Syarif Hidayatullah State Islamic University",Verified email at mhs.uinjkt.ac.id,455
113,Yusuf Rahman,https://scholar.google.com/citations?hl=en&user=HpJYXk4AAAAJ,State Islamic University (UIN) Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,454
114,Jahja Umar,https://scholar.google.com/citations?hl=en&user=EaUe7NoAAAAJ,Islamic State University Jakarta,Verified email at uinjkt.ac.id,447
115,Salman Maggalatung,https://scholar.google.com/citations?hl=en&user=_pZJF4gAAAAJ,UIN SYarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,447
116,Rumadi UIN Jakarta,https://scholar.google.com/citations?hl=en&user=LOvfWPMAAAAJ,Dosen UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,445
117,Sapiudin Shidiq,https://scholar.google.com/citations?hl=en&user=UUHmYlEAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,444
118,Ali Munhanif,https://scholar.google.com/citations?hl=en&user=pTAH9uUAAAAJ,"Political Science, UIN Jakarta",Verified email at uinjkt.ac.id,443
119,Kholis Ridho,https://scholar.google.com/citations?hl=en&user=o09K_R8AAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,443
120,Yayan Sopyan,https://scholar.google.com/citations?hl=en&user=s2Jt_8QAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,433
121,"Didin Nuruddin Hidayat, MA TESOL, Ph.D",https://scholar.google.com/citations?hl=en&user=JrrtFFsAAAAJ,Universitas Islam Negeri (UIN) Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,432
122,Iding Rosyidin,https://scholar.google.com/citations?hl=en&user=T_s9MNIAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,427
123,Fuad Jabali,https://scholar.google.com/citations?hl=en&user=J3OYeZ8AAAAJ,Syarif Hidayatullah Islamic State University of Indonesia,Verified email at uinjkt.ac.id,424
124,Anna Muawanah,https://scholar.google.com/citations?hl=en&user=kR5aZpoAAAAJ,UIN SYARIF HIDAYATULLAH JAKARTA,Verified email at uinjkt.ac.id,420
125,Ismail Hasani,https://scholar.google.com/citations?hl=en&user=5o8IXYIAAAAJ,"Lecturer, UIN Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,417
126,Yoghi Citra Pratama,https://scholar.google.com/citations?hl=en&user=SVPmUHQAAAAJ,State Islamic University Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,415
127,Fitri Damayanti,https://scholar.google.com/citations?hl=en&user=0KBWeKQAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,407
128,Kautsar Azhari Noer,https://scholar.google.com/citations?hl=en&user=R9tdIn4AAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,403
